Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-21,2409.TW,友達,31.85,33.35,31.8,33.35,822971740,235893466.0,-27329.0,22412688.0,564638257
2026-09-21,2412.TW,中華電,145.0,145.0,143.0,144.5,9034372,1074976.0,305371.0,105000.0,7549025
2026-09-21,2413.TW,環科,53.2,58.4,52.6,54.0,24916387,1080400.0,0.0,63830.0,23772157
2026-09-21,2414.TW,精技,53.5,53.5,52.5,52.9,144199,-52985.0,0.0,-5000.0,86214
2026-09-21,2415.TW,錩新,27.25,27.25,27.05,27.15,48330,4000.0,0.0,1000.0,43330
2026-09-21,2417.TW,圓剛,39.2,39.6,38.9,39.3,341658,76070.0,0.0,3000.0,262588
2026-09-21,2419.TW,仲琦,28.15,30.65,27.8,30.65,10193931,1058822.0,0.0,81399.0,9053710
2026-09-21,2420.TW,新巨,53.5,53.9,53.4,53.8,96630,-5000.0,0.0,1573.0,90057
2026-09-21,2421.TW,建準,170.5,170.5,166.0,166.5,1442731,-17295.0,-29000.0,-35373.0,1361063
2026-09-21,2423.TW,固緯,73.5,74.2,73.5,74.1,35506,6000.0,0.0,2000.0,27506
2026-09-21,2424.TW,隴華,7.93,8.05,7.93,8.01,15010,-2000.0,0.0,0.0,13010
2026-09-21,2425.TW,承啟,37.0,38.2,36.9,38.1,884121,82073.0,0.0,-2344.0,799704
2026-09-21,2426.TW,鼎元,102.0,103.0,99.6,99.8,21381046,-1979143.0,0.0,-102132.0,19299771
2026-09-21,2427.TW,三商電,24.4,24.55,23.8,23.8,1734660,8850.0,0.0,2000.0,1723810
2026-09-21,2428.TW,興勤,260.5,265.0,258.0,258.5,1000263,-215000.0,0.0,6637.0,778626
2026-09-21,2429.TW,銘旺科,31.15,32.05,30.8,32.05,270513,133077.0,0.0,0.0,137436
2026-09-21,2430.TW,燦坤,18.0,18.1,18.0,18.1,19291,7000.0,0.0,0.0,12291
2026-09-21,2431.TW,聯昌,10.1,10.25,10.05,10.25,96772,4000.0,0.0,1000.0,91772
2026-09-21,2432.TW,倚天酷碁-創,27.35,27.45,27.35,27.45,10000,-3000.0,0.0,0.0,7000
2026-09-21,2433.TW,互盛電,40.6,40.6,40.0,40.35,36103,-1000.0,0.0,2000.0,33103
2026-09-21,2434.TW,統懋,63.0,63.8,60.7,60.7,372420,-51905.0,0.0,0.0,320515
2026-09-21,2436.TW,偉詮電,68.1,70.2,67.4,70.0,8568018,-1715811.0,0.0,106244.0,6745963
2026-09-21,2438.TW,翔耀,21.1,21.3,20.0,20.7,189467,-41000.0,0.0,-1000.0,147467
2026-09-21,2439.TW,美律,78.8,78.9,78.2,78.6,629039,377193.0,0.0,-2359.0,249487
2026-09-21,2440.TW,太空梭,14.3,14.5,14.2,14.4,409475,132000.0,0.0,4000.0,273475
2026-09-21,2441.TW,超豐,125.0,129.0,125.0,127.5,6951031,260099.0,167000.0,223568.0,6300364
2026-09-21,2442.TW,新美齊,14.75,14.8,14.25,14.7,791676,-56997.0,0.0,-5000.0,729679
2026-09-21,2444.TW,兆勁,13.6,13.85,13.6,13.85,2310416,386199.0,0.0,6020.0,1918197
2026-09-21,2449.TW,京元電子,298.0,310.0,296.5,301.5,56082091,2032750.0,4558342.0,1016586.0,48474413
2026-09-21,2450.TW,神腦,28.3,28.3,28.2,28.3,54015,0.0,0.0,3000.0,51015
2026-09-21,2451.TW,創見,284.5,288.0,282.0,286.0,1852572,666676.0,-9000.0,22503.0,1154393
2026-09-21,2453.TW,凌群,55.5,55.5,54.8,54.8,255351,3349.0,0.0,2000.0,250002
2026-09-21,2454.TW,聯發科,4800.0,5035.0,4780.0,5010.0,11237165,3156867.0,312803.0,346817.0,7420678
2026-09-21,2455.TW,全新,571.0,590.0,545.0,572.0,15658626,-904650.0,1525000.0,-48103.0,13180873
2026-09-21,2457.TW,飛宏,22.05,22.3,22.0,22.2,946087,180270.0,0.0,18000.0,747817
2026-09-21,2458.TW,義隆,132.0,132.5,130.0,130.5,883659,-142907.0,-98000.0,-696.0,642056
2026-09-21,2459.TW,敦吉,65.8,65.8,65.3,65.5,38516,-11000.0,0.0,1000.0,26516
2026-09-21,2460.TW,建通,29.45,30.8,29.3,30.15,198372,11084.0,0.0,-2000.0,185288
2026-09-21,2461.TW,光群雷,17.6,17.9,17.45,17.7,218083,-73632.0,0.0,2000.0,142451
2026-09-21,2462.TW,良得電,19.85,19.85,19.3,19.8,144287,45000.0,0.0,1000.0,98287
2026-09-21,2464.TW,盟立,197.0,197.0,190.0,192.5,9685560,-1745097.0,6000.0,-82366.0,7852097
2026-09-21,2465.TW,麗臺,92.9,93.4,90.6,92.0,1415222,-143361.0,0.0,-1040.0,1270821
2026-09-21,2466.TW,冠西電,104.5,110.0,104.5,110.0,1237185,148289.0,0.0,2000.0,1086896
2026-09-21,2467.TW,志聖,535.0,535.0,521.0,526.0,680491,-212207.0,0.0,19230.0,449054
2026-09-21,2468.TW,華經,48.4,49.45,46.55,46.55,26714608,-1099556.0,0.0,-96308.0,25518744
2026-09-21,2471.TW,資通,53.6,54.0,53.2,53.2,531148,80066.0,0.0,28000.0,423082
2026-09-21,2472.TW,立隆電,218.0,219.5,211.5,213.0,2522957,-152358.0,-656000.0,-3315.0,1711284
2026-09-21,2474.TW,可成,210.5,213.0,210.5,211.0,3356077,-477339.0,-73001.0,115042.0,2690695
2026-09-21,2476.TW,鉅祥,124.0,125.5,123.0,124.5,770503,100372.0,0.0,-30138.0,639993
2026-09-21,2477.TW,美隆電,22.45,23.4,22.4,23.1,654749,179000.0,17574.0,3000.0,455175
2026-09-21,2478.TW,大毅,122.0,124.0,119.5,120.0,1568307,37038.0,0.0,-1373.0,1529896
